publishTime,position,salary,companyName,companyType,companySize,responsibility,requirement,requirement_city,requirement_exp,requirement_edu,avg_salary
发布于2018-11-15 17:21,运营编辑,4K-6K,文思海辉,计算机软件,已上市10000人以上,岗位职责：负责某互联网平台榜单数据的日常运营与审核工作，包括：1.榜单运营：结合时下热点与场景需要，针对某些特定主题进行内容编辑与生产2.数据产品质量审核：对算法挖掘产生的，包括不限于榜单，个性化前端展现内容等进行质量把控，确保上线后质量过关。3.线上巡查：定期对线上的使用情况进行巡查，发现问题，解决问题。4. 协助产品经理进行产品运营工作：针对一些使用榜单数据的产品形态，协助产品经理进行榜单的扩量和质量提升等运营工作。岗位要求：1、具备一定的审美情趣和文字功底，能胜任运营编辑的工作2、熟悉互联网项目运作流程，能快速融入项目和自己的工作角色。3、为人踏实，注重细节，有耐心，执行力强4.善于观察，善于思考分析，能够找到不断提升工作效率的方法5.善于沟通与合作，能够妥善处理内部和外部合作，快速理解掌握榜单数据运营的各项工作6.善于多任务管理，可以并行处理多项事务7.自我驱动力强，能按照规定时间完成要求的数量，效率与准确度兼备。,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,5000.0
发布于2018-11-02 15:25,项目运营,5K-7K,中公教育,在线教育,已上市10000人以上,"一、岗位职责：1、组织展开项目北京市场运作：与宣传紧密配合，执行相关课程的市场宣传活动计划，并做出相应的分析与反馈；2、负责全国线上和线下活动的执行、跟踪和反馈宣传效果；3、了解、分析、反馈市场竞争情况，协调、处理所负责宣传的突发事件；4、协助地市项目负责人完成市场计划，督导分校开展线上活动。  二、任职资格：1、熟练使用MS Office软件编写产品文档、产品演示文稿；2、具有较强的规划、分析能力和创新意识，对产品和市场宣传敏感 , 思维清晰而有条理；3、良好的沟通、协调能力，表达能力强，突出的执行能力；4、要求本科学历，熟悉北京高校情况者优先考虑；5、良好的职业素质和敬业精神，能适应加班等情况。6、公司安排岗前带薪培训。三、福利待遇：1、完善的培训体系与晋升体系，入职后带薪培训；2、 薪酬待遇：基本薪资+绩效奖金+年终奖金+五险一金；3、 基本福利：年度体检、年度旅游、带薪假期（年假、婚假、产检假、产假等）、阳光互助基金等。",城市：北京经验：1年以内学历：本科,北京,1年以内,本科,6000.0
发布于2018-11-19 22:39,活动运营,8K-15K,美菜网,移动互联网,D轮及以上10000人以上,职位描述：1、规划及执行社区团购电商各个品类线上活动，负责组织实施及效果评估；2、对流量、用户、商品等有感知，能策划出好活动拉新复购，提升相关品类的用户购买转化率、下单转化率等；3、擅长各种创意，想法多，脑洞大。任职资格：1、具备电商活动策划能力；2、善于整合资源，包括多品牌方及平台资源；3、热爱运营，任职负责，具有一定的抗压能力。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,11500.0
发布于2018-10-19 11:24,品牌运营,4K-6K,群记,互联网,未融资500-999人,投递简历前，请您仔细阅读以下说明：1. 我们是是创业型公司，我们年轻、有活力、有激情，已经开始并想长期致力于电商行业。2. 我们团队热爱生活，自我反省，互相尊重，集思广益。每次会议，头脑风暴，畅所欲言，为了达成目标绝不后退；3. 这里有各种形式的活动丰富您的业余生活；4. 您不仅要具备强的学习能力，还要能承受巨大的压力；5. 如果上面的说明您都清楚明白，请投递简历，我们欢迎你,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,5000.0
发布于2018-07-26 16:27,销售运营,6K-12K,北京麦田房产,地产经纪/中介,不需要融资10000人以上,【岗位职责】 1、 负责公司房屋及客户资源的搜集整理以及相关网站的运营； 2、 负责客户接待，并根据客户需求提供房屋买卖或租赁等服务； 3、 负责为客户提供看房、签约、交税、过户等交易过程服务； 4、 负责做好老客户关系的维护； 【你会关心】 1、 薪资：底薪5000+提成+现金奖励； 2、 培训：从入职到晋升，从销售技能到管理运营，全程系统培训； 3、 晋升：每三个月一次店长竞聘，公平公正公开，无空降兵，无绿色通道，只要你有能力，麦田就为你投资开店。 【福利标配】 1、工作时间：每周休1天+享有法定节假日+带薪年假； 2、福利保障：商业保险+五险； 3、购房需求：内部员工租房、买房，服务费享受员工折扣价； 4、司龄福利：五周年员工享有麦田金司徽 ，十周年员工享有马尔代夫双飞游 5、安全保障：麦基金（6K-20W）医疗&意外互助金，保障家人的福利； 【其他标配】 1、公司社团：篮球社、羽毛球社、瑜伽社、舞蹈社等等可申请加入，每周都有活动； 2、员工健康：麦田为员工提供免费的体检； 3、季度旅游：每季度荣誉区域将享受国内任选城市三日旅游，公司承担费用； 4、节日活动：中秋博饼、年终尾牙、万圣节活动、司庆活动、团队聚餐旅游，一切你能想到的，麦田都有！ 5、你的生日：不忘麦田员工的生日，全区伙伴为你庆生； …… 【任职资格】 1、 年龄20-35周岁，热爱销售，勇于挑战；2、 大专（含） 以上学历，退伍军人学历不做特别要求；3、 性格热情开朗，能积极主动为顾客提供优质服务； 4、 具有较强的学习能力，能在公司培训中快速掌握房产相关专业知识； 5、 具有良好团队合作精神，能够互帮互助，愿意为团队荣誉付出努力； 6、 具有一定抗压性，能够接受工作中的挑战和压力；,城市：北京经验：应届生学历：大专,北京,应届生,大专,9000.0
发布于2018-11-13 20:15,产品运营,6K-12K,中国平安,互联网金融,已上市10000人以上,领先的综合金融公司——中国平安： 中国平安保险（集团）股份有限公司（以下简称“中国平安” ，“平安”，“公司”，“集团”）于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已经发展成为金融保险、银行、投资等金融业务为一体的整合、紧密、多元的综合金融服务集团。国家不会允许中国平安破产！平安正在打造“综合生态圈” 。 2018财富世界五百强企业第29位，2018福布斯第10位，中国五百强企业第4位，非国有企业第一位。2018中国平安将正式启动总公益投入为100亿元的“三村建设工程”。工作时间:上午8:30-11:00半天固定时间班，双休，下午时间自由安排。福利待遇:1:底薪3600元～5400元+服务津贴+高额提成+实物奖励2:公司为员工缴纳五险一金3:每年4次国内外旅游4:广阔的晋升机会5:完善的培训体系（入职培训，员工职业化训练，晋升培训，中高层管理人员培训，在职教育，职业辅导）6:完善的职责发展通道和职责生涯体系,城市：北京经验：3-5年学历：大专,北京,3-5年,大专,9000.0
发布于2018-11-12 14:13,运营师,8K-15K,安居客,互联网,已上市10000人以上,岗位职责：1、负责事业部的数据分析，根据产品线业务需求进行数据加工、数据分析及数据展示，撰写相应分析报告、为公司产品运营提供策略及建议；2、结合数据及经营情况，落地运营工作，包括产品，市场及销售整体策略的确定及在各分公司的落地推广；3、通过数据分析，趋势研究等方法，监督业务运营指标，通过日报、周报、月报的形式做数据预警及阶段性分析工作，推动核心业务负责人促进产品销售业绩达成求；4、梳理新业务框架，确定新业务客户定位，销售规则，定价策略。岗位要求：1、大专及以上学历，专业不限；2、能够熟练使用office办公软件；3、一年以上工作经验，有线下活动策划、互联网行业相关工作经验优先考虑；4、思维敏捷，有很好的协调能力和语言表达能力，有亲和力和感染力，注重团队精神。,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,11500.0
发布于2018-11-16 15:31,内容运营,2K-4K,凤凰网,移动互联网,已上市1000-9999人,"岗位职责：1、负责其相关课程选题制定、资料搜集及整理工作；2、专栏日常运营工作，如前端展示、内容更新等工作的执行；3、专栏相关与主讲人，平台其他团队沟通工作；4、配合专栏营销工作，提高品牌知名度及印象；任职要求：""1、职业态度：有为自己未来负责的工作态度，能因此为锻炼自己的职业技能、工作逻辑而努力；2、工作能力：具有较强的把握时事能力，有国际视野、文化历史等相关领域的视野及知识储备；3、脑洞较大，有根基于专栏内容的营销话题和热点制造能力；4、较强的语言表达、沟通能力；5、追求美：具有相当的审美能力；6、本科以上在校学生。",城市：北京经验：1年以内学历：本科,北京,1年以内,本科,3000.0
发布于2018-09-28 14:03,销售运营,8K-15K,中国平安综合金融集团,保险,已上市10000人以上,岗位职责：1：负责公司客户活动策划。2: 针对不同时期，适当策划线下金融活动及官方活动。3：负责定期报名官方活动，整个活动流程跟进。工作时间：上午8.30点-11.00点半天固定时间班，双休。下午时间自由安排！福利待遇：1：底薪5400+服务津贴+高额提成+实物奖励2：公司为员工缴纳五险一金3：每年四次国内外旅游4：广阔的晋升空间5：完善的培训体系(入职培训+员工职业化培训+晋升培训+中高管理人员培训+在职教育+职业辅导)6：完善的职责发展通道职责生涯体系。,城市：北京经验：1年以内学历：本科,北京,1年以内,本科,11500.0
发布于2018-11-14 19:22,数据运营,5K-8K,元海慧诚,互联网金融,C轮1000-9999人,协助建立业务报表体系，通过数据指标发现业务趋势，发掘可能存在的业务提升点和风险点；通过对运营数据进行挖掘和分析，为运营决策提供策略方案；深入理解业务，根据业务逻辑进行目标拆解，跟踪，复盘。1年以上数据运营工作经验；优秀的沟通、协调、汇报以及分析、解决问题能力；优秀的学习和适应能力，能快速理解基本业务流程；熟悉Office的使用，良好的统计分析知识储备；良好的抗压力能力、高度的责任心与主动性。,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,6500.0
发布于2018-06-07 15:12,运营支持,4K-6K,全时天地在线,互联网,不需要融资1000-9999人,岗位职责：1、负责腾讯社交广告产品咨询，投诉等问题处理;2、客户行业分类及分配问题；3、销售和运营过程指标监控，各类业务周期性报表制作、人效报表分析；4、协调厂商与业务部门相关工作协调和配合工作；任职要求：1．专科及以上学历；2．熟悉热门行业1年以相关工作经验者优先；3．擅长信息处理和数据分析，对数字敏感；4. 能熟练运用Excel、Word、PPT等各项Office办公软件，精通各类数据分析与图表简报制作工具；5. 有较强的逻辑分析能力和统计能力；较强的沟通协调能力、自我学习能力、解决问题能力；6. 条理清晰、思维敏捷、领悟力强、认真、严谨、负责。女生丰厚的薪资待遇，五险一金+ 双休+班车+其他福利完善的晋升渠道：公平、公正、公开的竞争机制，规范的晋升、晋级工作流程，惟才是举，不惟学历，不惟资历。7.5小时工作时间： 8:30-17:30，中午12点至1点半午休，周末双休，无加班，法定节假日休息，试用期五险一金。,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,5000.0
发布于2018-11-14 18:53,策略运营,15K-30K,58到家,互联网,A轮1000-9999人,岗位职责：1. 对家政行业劳动者进行画像、分层，设立劳动者标签，制定分层匹配、分层促活、分层留存的策略2. 建立有逻辑的、成体系的家政行业劳动者运营体系，例如劳动者积分管理体系等3. 制定具体的劳动者促活、留存、线上匹配的策略 岗位要求：1. 有线上用户或者商家运营经验；2. 有很强的数据思维3. 有成熟的运营逻辑4. 有成熟的商业分析逻辑,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,22500.0
发布于2018-11-15 09:38,用户运营,20K-25K,太保北分售后服务部,保险,已上市1000-9999人,岗位职责：1、负责根据客户的要求，给用户提供专业的保险知识咨询和服务；2、负责推荐保险种类及相关理财产品，并制定保险方案；3、负责定期接受专业保险业务辅导和讲座；4、负责参保客户的后续客户服务工作。任职资格：1、大专及以上学历，年龄25岁以上2、具有良好的亲和力、沟通能力及团队合作精神；3、具有良好的心理素质及良好的沟通能力；4、具有积极进取的精神及接受挑战的个性；5、热爱保险行业有营销工作热情，责任心强；6、勤奋好学，勇于接受挑战，有自我创业的想法。工作时间：周一至周五，年龄;24--45周岁。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,22500.0
发布于2018-11-19 14:20,活动运营,7K-12K,跟谁学,互联网,A轮1000-9999人,岗位职责：1、	负责线上的活动策划，熟悉互联网各种推广方法和规则；2、	负责策划话题，结合热点事件开展线上推广活动；3、	完成活动信息的发布和收集，保证活动按时上线；4、	整理并进行数据分析，对活动进行分析和总结。岗位要求：1、	全日制统招本科以及以上学历；2、	具有一年以上互联网运营相关工作经验优先；3. 有社群裂变经验优先4、	具有较强的数据分析以及追踪能力；5、	有较强的团队意识，执行力和推动力,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,9500.0
发布于2018-11-05 19:02,内容运营,5K-8K,搜狗,互联网,已上市1000-9999人,职位描述：1、负责搜狗搜索客户端要闻区内容日常更新及维护；2、监控并跟进国内外突发性重要事件，支持重要资讯推送及内容运营；3、根据热点事件与可预见大事件，采用多种产品形式进行深度运营；4、运营官方微博、微信，实现增粉，为产品导流；5、监控运营数据，参与产品优化与策略调整。职位要求：1、新闻、中文及相关专业优先；2、一年以上工作经验，有资讯类产品内容运营、门户编辑工作经验者优先；3、有一定的文字功底，对热点事件敏感；4、有资讯类 app 使用习惯，能洞悉用户兴趣与心理；5、有评论消费习惯，对社区运营有自己的看法；6、会PS图片编辑、PR视频剪辑、H5制作技能可加分。【备注】此岗位为派遣，工作发展与培养均在搜狗。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,6500.0
发布于2018-10-16 16:07,运营经理,10K-20K,美菜网,移动互联网,D轮及以上10000人以上,职位描述：1、负责整个大区线上商城的业务策略制定、经营分析、策略落地复盘；2、保证业务策略的领先性，根据市竞争情况进行灵活调整，保证业务的行业领先性3、带领团队完成业务预算制定、产品价格制定、城市HC规划、业务策略输出4、带领团队完成对业务模型的搭建，并跟进后续诊断落地，持续为运营部门提供支持任职要求：1. 互联网和零售行业工作优先2. 大专以上学习，具有3年及以上互联网、零售行业工作优先3.具备优秀领导力、沟通能力、组织能力和社交能力，具有突出的项目计划能力、决策能力和谈判能力；,城市：北京经验：3-5年学历：大专,北京,3-5年,大专,15000.0
发布于2018-11-05 19:37,运营经理,10K-20K,中国平安集团,保险,已上市10000人以上,一、岗位职责：1、负责老客户产品的更新升级及数据维护工作。2、新产品的数据推送工作。3、通过策略优化、场景挖掘，实现客户体验提升，客户付费效果提升，产品收入提升等目标。4、统计和分析产品的各项核心数据指标，对策略改进提供数据依据；5、参与团队管理。二、业务运营范围包括： 健康，金融、理财、寿险（教育，婚嫁，意外，医疗，养老）车险、团险，股票，基金，信托，生活用品，贷款（车贷，房贷，保单贷） 三、 职位条件： 1 、 25—45 周岁；2 、大专及以上学历，金融专业优先考虑；3 、热情积极，有爱心，有责任感，学习能力强； 4 、具有良好的心理素质及良好的； 5 、具有人力资源、金融，策划、管理、保险、销售、医学、法律等行业工作经验者优先 四、上班时间： 1、周一至周五8:30-17:302、周末双休，其他假期遵照国家规定 五、待遇： 1、底薪+奖金+绩效+保险2、免费培训，免费旅游。 3、享受公司所有激励政策（公司旅游+实物激励+各类奖金+高端培训等） 4、享受公司无障碍晋升，带领团队、学管理，享受最佳基本法带来的销售、组织等各项利益团队介绍团队特色：年轻有为，勤学好做，赚钱是唯一目标团队文化：一群年轻有想法有干劲的合伙人，相互学习，相互帮助，共同成长，共同发展一起努力拼搏，只为赚钱。PS：无良好心态者不要；不上进不自律者不要；眼高手低者不要；人品不行者不要。,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,15000.0
发布于2018-10-22 19:11,课程运营,10K-20K,VIPKID,移动互联网,D轮及以上10000人以上,岗位职责：1. 与业务端深入沟通，根据业务端反馈的学员课程相关问题，设计并制作解读文案及视频2. 为课程做宣导内容设计及编写3. 持续关注行业及竞品，定期反馈所负责项目与竞品的差异4. 持续关注用户体验，定期收集用户反馈，并做信息整合与分析，给出优化建议5. 参与课程的配制和运营规则制定6. 业务端专业知识培训7. 完成团队其他任务 任职要求：1. 本科及以上学历，有海外留学经历者优先，中英文语言功底扎实，英语听说能力强，发音标准2. 有英语教学经验者且有资格证者优先，如TKT、CELTA/ CELTYL、TESOL、TEFL等3. 熟练使用office软件，具备一定的文案编写能力4. 具备一定的互联网产品思维5. 形象气质佳，具备良好的沟通能力、执行力和抗压能力,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,15000.0
发布于2018-10-25 15:11,产品运营,15K-20K,京东集团,电子商务,已上市10000人以上,岗位描述：1.负责京东pop的平台产品运营类项目的管理工作，策略制定项目跟进；2.协调各事业部及各条线相关人员的问题，与产品研发等部门沟通解决；3.对项目具体进度跟进，并保证按时落地执行上线； 4.持续跟踪运营情况，分析业务需求和存在的问题，达到灵活应对业务发展的要求。岗位要求：1.大学本科以上学历， 熟悉天猫京东开店、运营、推广相关规则电子商务运营经验5年及以上，电商运营经验优先；2. 有过5年以上工作经验，具备一定的互联网相关工作经验；3. 比较了解电商运营体系，对产品、活动、内容、数据均有比较深入的理解和经验；4.具有良好的沟通逻辑能力，较强的组织能力、学习能力和自驱力。,城市：北京经验：5-10年学历：本科,北京,5-10年,本科,17500.0
